year,agency_code,career_cluster,num_concentrators
2017,610334,HLTH,27.0
2017,610334,HOSP,59.0
2017,610334,HUMA,6.0
2017,610334,INFO,27.0
2017,610334,MANU,290.0
2017,610334,STEM,25.0
2017,610334,TRAN,25.0
2017,620310,HOSP,1.0
2017,620316,AGNR,19.0
2017,620316,ARCH,2.0
2017,620316,HLTH,10.0
2017,620316,INFO,67.0
2017,620316,MANU,2.0
2017,600496,HLTH,186.0
2017,600496,AGNR,1.0
2017,600480,TRAN,15.0
2017,600361,MANU,36.0
2017,600361,MRKT,44.0
2017,600361,STEM,8.0
2017,600361,TRAN,13.0
2017,600364,STEM,536.0
2017,600377,BMA,2.0
2017,600377,HLTH,61.0
2017,600377,HOSP,57.0
2017,600377,INFO,10.0
2017,600377,STEM,64.0
2017,600377,TRAN,1.0
2017,600386,HLTH,18.0
2017,600397,AAVC,58.0
2017,600397,BMA,28.0
2017,600397,HLTH,8.0
2017,600397,HOSP,7.0
2017,600397,INFO,69.0
2017,600397,MRKT,24.0
2017,600397,STEM,2.0
2017,600397,TRAN,1.0
2017,600405,AAVC,16.0
2017,600405,ARCH,61.0
2017,600405,BMA,22.0
2017,600405,FINA,1.0
2017,600405,HOSP,4.0
2017,600405,INFO,75.0
2017,600405,MANU,2.0
2017,600361,INFO,14.0
2017,600405,MRKT,31.0
2017,600361,HOSP,20.0
2017,600361,BMA,39.0
2017,600302,BMA,186.0
2017,600302,HLTH,24.0
2017,600302,HOSP,244.0
2017,600302,INFO,5.0
2017,600302,MRKT,200.0
2017,600302,STEM,136.0
2017,600312,AAVC,12.0
2017,600312,ARCH,16.0
2017,600312,BMA,37.0
2017,600312,FINA,14.0
2017,600312,HOSP,82.0
2017,600312,INFO,17.0
2017,600312,MANU,8.0
2017,600312,MRKT,17.0
2017,600312,STEM,56.0
2017,600312,TRAN,8.0
2017,600334,AAVC,2.0
2017,600334,ARCH,2.0
2017,600334,HLTH,1.0
2017,600334,HUMA,1.0
2017,600334,INFO,2.0
2017,600334,MANU,2.0
2017,600334,STEM,1.0
2017,600341,BMA,5.0
2017,600341,INFO,2.0
2017,600361,AAVC,50.0
2017,600361,ARCH,10.0
2017,600361,FINA,3.0
2017,630336,STEM,3.0
2017,600405,STEM,64.0
2017,600415,BMA,5.0
2017,600445,MRKT,35.0
2017,600445,STEM,43.0
2017,600455,HLTH,1.0
2017,600457,AAVC,26.0
2017,600457,ARCH,13.0
2017,600457,BMA,9.0
2017,600457,HLTH,1.0
2017,600457,HOSP,24.0
2017,600457,INFO,14.0
2017,600457,MANU,24.0
2017,600457,MRKT,4.0
2017,600457,TRAN,1.0
2017,600466,ARCH,2.0
2017,600466,BMA,47.0
2017,600466,HLTH,1.0
2017,600466,HOSP,57.0
2017,600466,INFO,3.0
