Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Charlotte-Mecklenburg Schools,600512,Rama Road Elementary,Southwest,PK-05,Y,D,46,36.3,85.2,Exceeded,2.10,D,54,44.6,92.5,Exceeded,5.52
Charlotte-Mecklenburg Schools,600513,Randolph Middle,Southwest,06-08,,B,78,75.7,85.5,Exceeded,2.21,B,71,71.3,68.9,Not Met,-2.21
Charlotte-Mecklenburg Schools,600514,Ranson Middle,Southwest,06-08,Y,F,31,19.6,75.1,Met,-0.98,F,25,16.9,59.7,Not Met,-4.14
Charlotte-Mecklenburg Schools,600515,Renaissance West STEAM Academy,Southwest,PK-08,Y,F,31,17.6,85.4,Exceeded,2.19,F,34,18.9,92.4,Exceeded,5.49
Charlotte-Mecklenburg Schools,600516,Reedy Creek Elementary,Southwest,PK-05,Y,D,49,39.5,87.1,Exceeded,2.84,C,55,46.0,91.5,Exceeded,4.90
Charlotte-Mecklenburg Schools,600517,Reid Park Academy,Southwest,PK-05,Y,F,38,28.9,75.4,Met,-0.91,D,46,36.4,84.0,Met,1.60
Charlotte-Mecklenburg Schools,600518,Ridge Road Middle,Southwest,06-08,,D,47,40.4,75.7,Met,-0.85,F,35,28.9,61.1,Not Met,-3.78
Charlotte-Mecklenburg Schools,600520,Sedgefield Middle,Southwest,06-08,Y,D,53,46.7,76.5,Met,-0.69,D,48,46.3,56.7,Not Met,-5.98
Charlotte-Mecklenburg Schools,600521,Stoney Creek Elementary,Southwest,0K-05,Y,D,41,31.7,80.2,Met,0.08,D,54,43.2,96.5,Exceeded,7.95
Charlotte-Mecklenburg Schools,600522,Selwyn Elementary,Southwest,0K-05,,B,78,79.0,74.0,Met,-1.20,B,82,86.2,63.8,Not Met,-3.23
Charlotte-Mecklenburg Schools,600527,Shamrock Gardens Elementary,Southwest,PK-05,Y,D,49,44.6,67.0,Not Met,-2.59,C,61,55.4,85.3,Exceeded,2.15
Charlotte-Mecklenburg Schools,600530,Sharon Elementary,Southwest,0K-05,,B,76,76.1,76.3,Met,-0.73,A,85,85.2,82.0,Met,0.82
Charlotte-Mecklenburg Schools,600532,South Academy of International Languages,Southwest,0K-08,,C,67,61.4,87.0,Exceeded,2.80,B,72,69.0,85.8,Exceeded,2.33
Charlotte-Mecklenburg Schools,600534,Smithfield Elementary,Southwest,PK-05,,C,61,55.1,83.6,Met,1.44,C,64,59.1,85.2,Exceeded,2.11
Charlotte-Mecklenburg Schools,600537,South Charlotte Middle,Southwest,06-08,,B,72,68.6,86.8,Exceeded,2.74,B,71,73.5,59.3,Not Met,-4.37
Charlotte-Mecklenburg Schools,600538,Southwest Middle School,Southwest,06-08,,D,44,37.9,69.5,Not Met,-2.10,F,36,32.5,52.1,Not Met,-8.73
Charlotte-Mecklenburg Schools,600545,Starmount Academy of Excellence,Southwest,PK-05,Y,F,29,17.5,75.7,Met,-0.85,F,34,19.9,88.3,Exceeded,3.33
Charlotte-Mecklenburg Schools,600546,Statesville Road Elementary,Southwest,0K-05,Y,F,35,23.1,83.6,Met,1.46,F,31,18.4,80.4,Met,0.18
Charlotte-Mecklenburg Schools,600549,Steele Creek Elementary,Southwest,0K-05,,F,39,28.1,81.4,Met,0.57,D,45,34.7,83.8,Met,1.55
Charlotte-Mecklenburg Schools,600550,Sterling Elementary,Southwest,PK-05,Y,F,23,12.2,65.9,Not Met,-2.82,F,33,19.8,88.1,Exceeded,3.25
Charlotte-Mecklenburg Schools,600553,Thomasboro Academy,Southwest,0K-08,Y,F,36,25.4,79.7,Met,-0.06,D,41,27.1,98.3,Exceeded,8.99
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,,C,58,50.6,89.6,Exceeded,3.87,C,68,63.9,86.6,Exceeded,2.65
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,0K-05,,B,77,74.3,88.7,Exceeded,3.50,A,87,87.9,85.5,Exceeded,2.21
Charlotte-Mecklenburg Schools,600562,Tuckaseegee Elementary,Southwest,0K-05,Y,D,40,29.2,83.9,Met,1.57,C,66,58.8,96.5,Exceeded,7.92
Charlotte-Mecklenburg Schools,600565,University Park Creative Arts,Southwest,0K-05,Y,F,28,19.1,64.2,Not Met,-3.16,F,32,20.3,77.4,Met,-0.51
Charlotte-Mecklenburg Schools,600566,University Meadows Elementary,Southwest,PK-05,Y,F,38,27.3,79.0,Met,-0.20,D,50,39.6,90.7,Exceeded,4.45
Charlotte-Mecklenburg Schools,600571,Irwin Academic Center,Southwest,0K-05,,B,73,71.6,80.3,Met,0.14,B,75,74.0,77.5,Met,-0.50
Charlotte-Mecklenburg Schools,600574,Walter G. Byers School,Southwest,PK-08,Y,D,41,30.6,81.4,Met,0.59,D,41,28.0,94.0,Exceeded,6.42
Charlotte-Mecklenburg Schools,600577,Westerly Hills Academy,Southwest,PK-05,Y,F,38,25.1,89.0,Exceeded,3.60,D,48,36.0,94.9,Exceeded,6.99
Charlotte-Mecklenburg Schools,600582,Williams Secondary Montessori,Southwest,07-12,,A,86,87.5,81.3,Met,0.54,C,63,64.0,57.2,Not Met,-5.67
Charlotte-Mecklenburg Schools,600583,Wilson STEM Academy,Southwest,06-08,Y,D,41,29.6,89.0,Exceeded,3.63,F,34,21.4,85.7,Exceeded,2.29
Charlotte-Mecklenburg Schools,600586,Winding Springs Elementary,Southwest,PK-05,Y,F,37,27.1,75.0,Met,-1.00,D,48,38.1,87.8,Exceeded,3.13
Charlotte-Mecklenburg Schools,600587,Windsor Park Elementary,Southwest,PK-05,Y,D,45,35.6,84.9,Met,1.96,C,66,58.9,96.6,Exceeded,7.99
Charlotte-Mecklenburg Schools,600588,Winget Park Elementary,Southwest,PK-05,,D,53,45.2,81.9,Met,0.79,C,55,48.8,79.0,Met,-0.20
Charlotte-Mecklenburg Schools,600589,Winterfield Elementary,Southwest,PK-05,Y,F,31,19.7,75.8,Met,-0.84,D,47,33.9,96.9,Exceeded,8.17
Charlotte-Mecklenburg Schools,600590,River Gate Elementary,Southwest,0K-05,,D,53,45.5,84.5,Met,1.83,C,59,55.5,73.4,Met,-1.31
Charlotte-Mecklenburg Schools,600593,Villa Heights Elementary,Southwest,0K-05,Y,D,53,45.7,84.0,Met,1.61,C,61,54.3,86.9,Exceeded,2.79
Mitchell County Schools,610302,Bowman Middle,Northwest,05-08,Y,D,54,47.9,80.3,Met,0.15,D,42,38.5,57.1,Not Met,-5.74
Mitchell County Schools,610310,Deyton Elementary,Northwest,03-05,Y,D,49,41.5,80.2,Met,0.10,C,65,61.0,81.2,Met,0.48
Mitchell County Schools,610320,Gouge Elementary,Northwest,0K-04,Y,C,56,50.0,82.1,Met,0.84,C,63,59.2,79.2,Met,-0.16
Mitchell County Schools,610326,Harris Middle,Northwest,06-08,Y,C,60,54.7,78.7,Met,-0.25,D,54,52.5,59.1,Not Met,-4.53
Montgomery County Schools,620312,Candor Elementary,Sandhills,PK-05,Y,F,39,29.9,75.4,Met,-0.92,D,46,35.1,87.7,Exceeded,3.10
Montgomery County Schools,620314,East Middle,Sandhills,06-08,Y,C,56,47.6,88.8,Exceeded,3.52,C,56,47.5,90.7,Exceeded,4.45
Montgomery County Schools,620318,Green Ridge Elementary,Sandhills,PK-05,Y,D,47,36.1,90.5,Exceeded,4.34,D,48,37.4,90.2,Exceeded,4.16
Montgomery County Schools,620324,Mount Gilead Elementary,Sandhills,PK-05,Y,D,41,30.5,81.4,Met,0.58,D,54,43.8,95.0,Exceeded,7.02
Montgomery County Schools,620330,Page Street Elementary,Sandhills,03-05,Y,F,38,32.1,62.3,Not Met,-3.54,F,34,27.3,59.3,Not Met,-4.41
Montgomery County Schools,620334,Star Elementary,Sandhills,PK-05,Y,D,54,48.1,75.5,Met,-0.89,D,54,44.3,90.3,Exceeded,4.20
Montgomery County Schools,620339,West Middle,Sandhills,06-08,,D,45,35.9,80.1,Met,0.07,F,39,30.3,72.2,Met,-1.55
Moore County Schools,630308,Aberdeen Elementary,Sandhills,PK-05,Y,D,40,35.0,62.4,Not Met,-3.51,F,37,31.3,59.5,Not Met,-4.27
Moore County Schools,630312,Cameron Elementary,Sandhills,0K-05,Y,D,49,41.7,80.3,Met,0.13,D,42,38.3,56.0,Not Met,-6.35
Moore County Schools,630316,Carthage Elementary,Sandhills,PK-05,Y,C,62,57.2,80.8,Met,0.35,C,63,56.6,90.3,Exceeded,4.19
Moore County Schools,630317,Crain's Creek Middle,Sandhills,06-08,Y,C,57,51.6,77.0,Met,-0.59,D,54,49.0,73.7,Met,-1.25
Moore County Schools,630320,Elise Middle,Sandhills,06-08,Y,D,50,40.8,84.9,Met,1.97,D,46,36.8,80.3,Met,0.12
Moore County Schools,630324,Sandhills Farm Life Elementary,Sandhills,0K-05,,C,61,56.4,76.9,Met,-0.62,C,69,65.7,79.9,Met,-0.02
Moore County Schools,630328,Highfalls Elementary,Sandhills,0K-08,Y,C,60,56.1,74.3,Met,-1.13,C,65,65.3,63.8,Not Met,-3.23
Moore County Schools,630329,McDeeds Creek Elementary,Sandhills,PK-05,,B,72,69.5,84.1,Met,1.66,B,74,76.1,66.7,Not Met,-2.65
Moore County Schools,630331,New Century Middle,Sandhills,06-08,,C,60,57.8,67.7,Not Met,-2.46,D,53,52.0,56.8,Not Met,-5.87
Moore County Schools,630342,Pinehurst Elementary,Sandhills,0K-05,,B,72,68.7,85.0,Exceeded,2.01,B,73,73.1,72.0,Met,-1.59
Moore County Schools,630348,Robbins Elementary,Sandhills,PK-05,Y,F,39,29.8,76.7,Met,-0.66,D,41,36.5,60.6,Not Met,-3.87
Moore County Schools,630350,Southern Middle,Sandhills,06-08,Y,D,46,43.1,59.3,Not Met,-4.41,C,55,47.7,83.1,Met,1.24
Moore County Schools,630356,Southern Pines Elementary,Sandhills,PK-05,Y,D,54,47.2,83.6,Met,1.45,D,50,47.5,60.9,Not Met,-3.82
Moore County Schools,630364,Vass-Lakeview Elementary,Sandhills,PK-05,Y,C,58,53.4,77.6,Met,-0.48,C,63,61.3,70.2,Met,-1.96
Moore County Schools,630368,West End Elementary,Sandhills,PK-05,,B,78,74.1,91.3,Exceeded,4.82,B,80,82.2,71.8,Met,-1.64
Moore County Schools,630373,West Pine Elementary,Sandhills,0K-05,,C,66,60.2,88.6,Exceeded,3.47,C,67,61.2,90.5,Exceeded,4.35
Moore County Schools,630374,West Pine Middle,Sandhills,06-08,,C,66,64.7,70.8,Met,-1.83,C,65,66.7,58.7,Not Met,-4.77
Moore County Schools,630376,Westmoore Elementary,Sandhills,0K-08,Y,D,53,46.4,77.8,Met,-0.43,D,42,35.6,68.1,Not Met,-2.38
Nash County Public Schools,640304,Bailey Elementary,North Central,PK-05,Y,D,47,39.6,75.9,Met,-0.81,D,52,45.2,79.3,Met,-0.14
Nash County Public Schools,640306,Baskerville Elementary,North Central,0K-05,Y,F,29,17.9,71.4,Met,-1.71,F,22,7.2,79.3,Met,-0.14
Nash County Public Schools,640308,Benvenue Elementary,North Central,0K-05,Y,F,39,27.8,81.7,Met,0.70,F,39,27.8,81.3,Met,0.52
Nash County Public Schools,640316,Cedar Grove Elementary,North Central,PK-05,Y,D,44,37.1,72.7,Met,-1.45,D,47,38.7,80.5,Met,0.22
Nash County Public Schools,640320,Nash Central Middle,North Central,06-08,,D,44,37.2,72.2,Met,-1.56,D,40,33.6,67.4,Not Met,-2.51
Nash County Public Schools,640324,Coopers Elementary,North Central,PK-05,Y,C,55,49.8,74.8,Met,-1.03,C,66,59.2,91.3,Exceeded,4.82
Nash County Public Schools,640326,D S Johnson Elementary,North Central,03-05,Y,F,22,13.1,56.4,Not Met,-6.15,F,23,8.7,79.0,Met,-0.20
Nash County Public Schools,640328,Englewood Elementary,North Central,03-05,Y,F,35,28.4,59.0,Not Met,-4.59,D,42,30.8,84.4,Met,1.78
Nash County Public Schools,640329,G R Edwards Middle,North Central,06-08,Y,D,40,29.8,82.7,Met,1.10,D,40,26.7,91.0,Exceeded,4.64
Nash County Public Schools,640332,M B Hubbard Elementary,North Central,0K-05,Y,D,42,32.1,80.4,Met,0.19,D,41,27.5,95.7,Exceeded,7.42
Nash County Public Schools,640334,J W Parker Middle,North Central,06-08,Y,F,26,14.4,72.0,Met,-1.59,F,15,<5,59.3,Not Met,-4.38
Nash County Public Schools,640335,Rocky Mount Middle,North Central,06-08,Y,D,40,28.0,86.6,Exceeded,2.67,F,28,14.8,82.0,Met,0.83
Nash County Public Schools,640336,Middlesex Elementary,North Central,PK-05,Y,D,41,33.6,68.3,Not Met,-2.33,D,45,35.8,80.2,Met,0.10
Nash County Public Schools,640348,Nashville Elementary,North Central,PK-05,Y,D,41,34.3,69.4,Not Met,-2.12,D,51,41.1,92.9,Exceeded,5.75
Nash County Public Schools,640358,Red Oak Middle,North Central,06-08,,D,41,34.9,64.6,Not Met,-3.08,F,38,30.0,68.3,Not Met,-2.33
Nash County Public Schools,640362,Southern Nash Middle,North Central,06-08,,D,40,33.6,63.1,Not Met,-3.38,D,44,32.3,89.3,Exceeded,3.72
Nash County Public Schools,640376,Spring Hope Elementary,North Central,PK-05,Y,D,41,30.6,82.1,Met,0.84,F,38,29.4,74.1,Met,-1.18
Nash County Public Schools,640384,Swift Creek Elementary,North Central,03-05,Y,D,48,40.7,79.1,Met,-0.17,C,55,46.1,91.9,Exceeded,5.18
New Hanover County Schools,650304,Bradley Creek Elementary,Southeast,0K-05,Y,C,60,55.5,79.3,Met,-0.14,B,70,68.3,76.9,Met,-0.61
New Hanover County Schools,650308,Carolina Beach Elementary,Southeast,0K-05,,C,67,63.0,81.0,Met,0.43,C,68,68.7,65.2,Not Met,-2.96
New Hanover County Schools,650309,Castle Hayne Elementary,Southeast,0K-05,Y,C,59,54.5,75.8,Met,-0.83,C,69,63.1,90.6,Exceeded,4.38
New Hanover County Schools,650310,Charles P Murray Middle,Southeast,06-08,,C,66,61.9,82.0,Met,0.83,B,77,74.1,89.5,Exceeded,3.80
New Hanover County Schools,650312,R Freeman Sch of Engineering,Southeast,PK-05,Y,F,23,8.9,77.5,Met,-0.49,F,20,5.7,75.6,Met,-0.88
New Hanover County Schools,650316,College Park Elementary,Southeast,0K-05,Y,F,38,31.7,65.3,Not Met,-2.93,D,46,37.2,82.4,Met,0.99
New Hanover County Schools,650323,Edwin A Anderson Elementary,Southeast,0K-05,,C,65,63.7,70.6,Met,-1.88,B,71,69.5,76.8,Met,-0.63
New Hanover County Schools,650324,Edwin A Alderman Elementary,Southeast,0K-05,Y,D,49,41.3,78.3,Met,-0.34,D,51,45.5,71.3,Met,-1.74
New Hanover County Schools,650325,Emma B Trask Middle,Southeast,06-08,Y,C,55,51.0,70.1,Met,-1.97,C,59,55.3,73.4,Met,-1.32
New Hanover County Schools,650328,Forest Hills Global Elementary,Southeast,0K-05,Y,F,28,20.0,62.0,Not Met,-3.60,F,29,19.5,65.2,Not Met,-2.96
New Hanover County Schools,650330,Porters Neck Elementary,Southeast,0K-05,,C,68,64.6,82.8,Met,1.14,B,70,68.9,76.3,Met,-0.73
New Hanover County Schools,650332,The International School at Gregory,Southeast,0K-08,Y,D,53,46.8,76.4,Met,-0.71,D,50,41.5,81.7,Met,0.69
New Hanover County Schools,650338,Heyward C Bellamy Elem,Southeast,0K-05,,C,69,65.2,84.1,Met,1.65,B,78,76.3,83.6,Met,1.44
New Hanover County Schools,650339,Holly Tree Elementary,Southeast,0K-05,,C,68,69.6,60.0,Not Met,-4.00,C,68,70.8,57.1,Not Met,-5.74
New Hanover County Schools,650341,John J Blair Elementary,Southeast,PK-05,Y,D,47,38.5,82.3,Met,0.92,D,48,44.5,63.9,Not Met,-3.22
New Hanover County Schools,650343,Holly Shelter Middle,Southeast,06-08,Y,D,53,48.4,70.9,Met,-1.82,D,48,46.1,56.1,Not Met,-6.29
New Hanover County Schools,650346,Mary C Williams Elementary,Southeast,0K-05,Y,C,55,47.9,81.8,Met,0.73,C,62,57.4,80.7,Met,0.30
New Hanover County Schools,650348,Murrayville Elementary,Southeast,PK-05,Y,C,59,56.6,70.3,Met,-1.93,C,60,57.4,71.3,Met,-1.74
New Hanover County Schools,650350,M C S Noble Middle,Southeast,06-08,,C,67,67.1,68.7,Not Met,-2.26,B,70,68.2,79.4,Met,-0.12
New Hanover County Schools,650351,Myrtle Grove Middle,Southeast,06-08,Y,C,55,49.8,76.1,Met,-0.78,D,52,49.0,61.9,Not Met,-3.62
New Hanover County Schools,650353,Dr Hubert Eaton Sr Elem,Southeast,0K-05,,B,78,76.1,85.8,Exceeded,2.34,B,84,84.5,83.0,Met,1.22
New Hanover County Schools,650356,Ogden Elementary,Southeast,0K-05,,B,83,81.5,87.2,Exceeded,2.89,B,82,88.3,57.9,Not Met,-5.25
New Hanover County Schools,650362,Pine Valley Elementary,Southeast,0K-05,Y,C,59,55.0,73.4,Met,-1.31,C,61,61.0,62.5,Not Met,-3.50
New Hanover County Schools,650364,Roland-Grise Middle,Southeast,06-08,,C,62,61.3,67.1,Not Met,-2.57,C,57,58.0,54.8,Not Met,-7.11
New Hanover County Schools,650366,Dr John Codington Elem,Southeast,0K-05,,B,71,69.3,76.7,Met,-0.66,B,73,75.2,62.9,Not Met,-3.42
New Hanover County Schools,650368,Sunset Park Elementary,Southeast,0K-05,Y,D,41,30.5,80.9,Met,0.36,D,53,45.4,84.9,Met,1.98
New Hanover County Schools,650380,Masonboro Elementary,Southeast,0K-05,,B,82,84.1,71.7,Met,-1.65,A,93,93.3,90.5,Exceeded,4.35
New Hanover County Schools,650384,A H Snipes Academy of Arts/Des,Southeast,0K-05,Y,F,33,22.1,77.0,Met,-0.60,F,38,28.7,74.4,Met,-1.11
New Hanover County Schools,650392,Williston Middle,Southeast,06-08,Y,D,41,30.6,83.1,Met,1.26,F,35,25.9,72.1,Met,-1.58
New Hanover County Schools,650400,Winter Park Model Elementary,Southeast,0K-05,Y,C,58,52.1,83.5,Met,1.41,C,64,59.2,83.4,Met,1.38
New Hanover County Schools,650404,Wrightsboro Elementary,Southeast,PK-05,Y,F,35,27.2,65.4,Not Met,-2.92,F,35,27.2,65.4,Not Met,-2.92
New Hanover County Schools,650408,Wrightsville Beach Elem,Southeast,0K-05,,A,87,88.4,80.8,Met,0.34,A,88,90.7,76.9,Met,-0.61
Northampton County Schools,660306,Central Elementary,Northeast,PK-05,Y,F,28,18.0,68.8,Not Met,-2.23,D,45,34.1,86.4,Exceeded,2.57
Northampton County Schools,660308,Conway Middle,Northeast,06-08,Y,D,51,40.6,91.1,Exceeded,4.67,F,38,27.0,84.2,Met,1.70
Northampton County Schools,660320,Gaston STEM Leadership Academy,Northeast,PK-08,Y,F,37,26.6,78.7,Met,-0.25,F,38,27.6,77.9,Met,-0.42
Northampton County Schools,660360,Willis Hare Elementary,Northeast,PK-05,Y,F,35,23.7,81.0,Met,0.41,F,31,17.3,85.7,Exceeded,2.30
Onslow County Schools,670304,Bell Fork Elementary,Southeast,0K-05,Y,D,45,40.2,62.6,Not Met,-3.47,D,50,45.9,68.6,Not Met,-2.27
Onslow County Schools,670308,Blue Creek Elementary,Southeast,0K-05,Y,D,45,38.8,67.7,Not Met,-2.45,D,50,46.5,64.1,Not Met,-3.17
Onslow County Schools,670310,Carolina Forest Elementary,Southeast,0K-05,Y,D,54,48.2,79.4,Met,-0.11,C,56,52.0,71.4,Met,-1.72
Onslow County Schools,670312,Clyde Erwin Elementary,Southeast,0K-05,Y,C,56,49.6,82.9,Met,1.16,D,45,39.2,69.9,Not Met,-2.01
Onslow County Schools,670313,Coastal Elementary,Southeast,0K-05,,C,68,65.7,75.2,Met,-0.96,C,62,62.8,57.6,Not Met,-5.41
Onslow County Schools,670314,Dixon Elementary,Southeast,PK-05,,C,67,66.4,68.0,Not Met,-2.39,C,62,61.2,64.8,Not Met,-3.03
Onslow County Schools,670318,Dixon Middle,Southeast,06-08,Y,C,58,52.4,81.6,Met,0.64,D,52,49.5,62.8,Not Met,-3.44
Onslow County Schools,670321,Hunters Creek Elementary,Southeast,PK-05,Y,D,44,35.9,74.0,Met,-1.19,D,47,38.6,81.5,Met,0.63
Onslow County Schools,670322,Hunters Creek Middle,Southeast,06-08,Y,D,50,43.0,79.5,Met,-0.10,D,40,34.5,59.6,Not Met,-4.20
Onslow County Schools,670323,Jacksonville Commons Elem,Southeast,0K-05,Y,D,43,37.2,66.0,Not Met,-2.79,D,43,39.9,55.1,Not Met,-6.94
Onslow County Schools,670325,Jacksonville Commons Middle,Southeast,06-08,Y,C,55,46.4,86.9,Exceeded,2.79,D,49,41.6,80.3,Met,0.12
Onslow County Schools,670329,Meadow View Elementary,Southeast,0K-05,Y,F,38,33.1,58.6,Not Met,-4.83,D,48,40.4,79.8,Met,-0.04
Onslow County Schools,670330,Morton Elementary,Southeast,PK-05,Y,C,57,50.0,83.2,Met,1.28,C,61,62.0,59.3,Not Met,-4.40
Onslow County Schools,670331,New Bridge Middle,Southeast,06-08,Y,C,65,62.0,75.9,Met,-0.82,C,63,62.0,66.9,Not Met,-2.61
Onslow County Schools,670332,Northwoods Elementary,Southeast,0K-05,Y,D,42,34.5,69.7,Not Met,-2.06,F,39,34.5,55.3,Not Met,-6.79
Onslow County Schools,670335,Queens Creek Elementary,Southeast,PK-05,Y,C,57,54.9,62.9,Not Met,-3.41,C,56,54.7,60.5,Not Met,-3.90
Onslow County Schools,670336,Northwoods Park Middle,Southeast,06-08,Y,D,46,43.0,59.6,Not Met,-4.22,F,37,32.9,53.1,Not Met,-8.13
Onslow County Schools,670337,Heritage Elementary School,Southeast,0K-05,Y,D,48,45.4,59.3,Not Met,-4.42,D,52,51.0,56.9,Not Met,-5.83
Onslow County Schools,670338,Parkwood Elementary,Southeast,0K-05,Y,D,50,48.2,59.1,Not Met,-4.49,C,68,64.0,82.7,Met,1.09
Onslow County Schools,670339,Richlands Elementary,Southeast,0K-05,Y,D,47,41.9,65.6,Not Met,-2.88,D,54,50.6,66.1,Not Met,-2.77
Onslow County Schools,670341,Sand Ridge Elementary,Southeast,0K-05,Y,D,53,48.8,70.8,Met,-1.84,D,54,53.8,57.1,Not Met,-5.69
Onslow County Schools,670342,Silverdale Elementary,Southeast,0K-05,Y,D,50,45.1,70.6,Met,-1.87,D,43,39.4,57.8,Not Met,-5.27
Onslow County Schools,670343,Southwest Elementary,Southeast,PK-05,Y,D,48,41.9,73.9,Met,-1.21,D,52,47.9,66.5,Not Met,-2.69
Onslow County Schools,670345,Southwest Middle,Southeast,06-08,Y,D,53,45.4,84.5,Met,1.81,F,37,30.0,66.1,Not Met,-2.78
Onslow County Schools,670346,Summersill Elementary,Southeast,PK-05,Y,D,48,43.2,64.9,Not Met,-3.01,D,52,50.0,61.3,Not Met,-3.74
Onslow County Schools,670347,Stateside Elementary,Southeast,0K-05,Y,D,48,44.1,62.9,Not Met,-3.42,D,47,43.5,58.6,Not Met,-4.82
Onslow County Schools,670350,Swansboro Elementary,Southeast,0K-05,,C,61,57.1,74.5,Met,-1.09,C,67,67.5,63.0,Not Met,-3.40
Onslow County Schools,670351,Swansboro Middle,Southeast,06-08,Y,C,62,57.6,80.3,Met,0.15,D,52,51.4,54.9,Not Met,-7.03
Onslow County Schools,670356,Trexler Middle,Southeast,06-08,Y,D,50,41.6,83.1,Met,1.26,D,46,39.6,72.8,Met,-1.44
Onslow County Schools,670378,Onslow Virtual Elementary,Southeast,0K-05,Y,D,46,37.8,80.8,Met,0.34,F,29,21.4,59.4,Not Met,-4.36
Onslow County Schools,670379,Onslow Virtual Secondary,Southeast,06-12,,C,57,51.3,80.0,Met,0.02,D,48,38.2,87.1,Exceeded,2.86
Orange County Schools,680300,Orange County Schools Online Academy,North Central,0K-12,,C,57,51.5,77.5,Met,-0.49,F,35,27.9,61.5,Not Met,-3.70
Orange County Schools,680304,A L Stanback Middle,North Central,06-08,,D,51,42.4,87.2,Exceeded,2.89,C,55,44.0,97.1,Exceeded,8.31
Orange County Schools,680308,River Park Elementary,North Central,PK-05,,C,63,55.8,90.1,Exceeded,4.10,C,69,61.7,100.0,Exceeded,11.62
Orange County Schools,680312,Central Elementary,North Central,PK-05,Y,D,48,38.5,85.2,Exceeded,2.08,D,47,35.4,92.7,Exceeded,5.65
Orange County Schools,680316,Orange Middle,North Central,06-08,,D,54,49.0,73.6,Met,-1.28,C,65,56.9,98.9,Exceeded,9.34
Orange County Schools,680324,Efland Cheeks Elementary,North Central,PK-05,Y,D,40,28.6,84.3,Met,1.74,D,52,40.8,98.5,Exceeded,9.15
Orange County Schools,680327,Gravelly Hill Middle,North Central,06-08,,F,36,30.5,58.0,Not Met,-5.18,F,39,30.1,74.3,Met,-1.13
Orange County Schools,680328,Grady Brown Elementary,North Central,PK-05,Y,D,50,40.2,90.4,Exceeded,4.27,D,45,34.3,89.9,Exceeded,3.97
Orange County Schools,680329,Hillsborough Elementary,North Central,PK-05,,B,78,74.5,92.5,Exceeded,5.52,B,77,73.0,94.0,Exceeded,6.40
Orange County Schools,680330,New Hope Elementary,North Central,PK-05,Y,D,47,37.5,86.3,Exceeded,2.52,D,51,41.1,92.7,Exceeded,5.64
Orange County Schools,680336,Pathways Elementary,North Central,PK-05,,D,48,39.1,85.3,Exceeded,2.14,C,63,55.4,92.6,Exceeded,5.58
Chapel Hill-Carrboro Schools,681300,Northside Elementary,North Central,PK-05,Y,C,56,51.3,76.5,Met,-0.69,C,56,49.2,85.6,Exceeded,2.24
Chapel Hill-Carrboro Schools,681304,Carrboro Elementary,North Central,PK-05,Y,C,66,63.8,75.9,Met,-0.81,B,72,68.3,86.4,Exceeded,2.57
Chapel Hill-Carrboro Schools,681309,McDougle Middle,North Central,06-08,,B,71,67.3,85.7,Exceeded,2.28,C,69,64.0,90.0,Exceeded,4.02
Chapel Hill-Carrboro Schools,681310,Seawell Elementary,North Central,PK-05,,B,80,78.2,85.6,Exceeded,2.26,B,81,80.4,85.4,Exceeded,2.16
Chapel Hill-Carrboro Schools,681311,Ephesus Elementary,North Central,PK-05,Y,B,71,66.9,86.0,Exceeded,2.42,B,76,72.3,91.7,Exceeded,5.05
Chapel Hill-Carrboro Schools,681312,Estes Hills Elementary,North Central,PK-05,Y,B,73,69.3,87.0,Exceeded,2.80,B,77,72.5,94.1,Exceeded,6.47
Chapel Hill-Carrboro Schools,681316,FPG Elementary,North Central,PK-05,Y,C,61,59.1,69.6,Not Met,-2.07,C,65,59.5,86.6,Exceeded,2.67
Chapel Hill-Carrboro Schools,681320,Glenwood Elementary,North Central,0K-05,,B,76,76.3,73.7,Met,-1.25,B,74,72.6,78.6,Met,-0.27
Chapel Hill-Carrboro Schools,681322,Culbreth Middle,North Central,06-08,,B,71,67.9,82.6,Met,1.05,C,69,65.6,83.5,Met,1.41
